date,experimentId,experimentVariant,deviceCategory,userType,sessions,users,transactionRevenue,transactions,addToCart
2021-09-23,2ccd4f1b7d290c28600eb2a955f80242d96ad08d11c95a09a8ef0de4cea04f6d,0,mobile,Returning Visitor,1027,616,0.58569755,53,161.0
2021-10-08,2ccd4f1b7d290c28600eb2a955f80242d96ad08d11c95a09a8ef0de4cea04f6d,0,mobile,Returning Visitor,1160,806,0.46303159000000005,56,63.0
2021-09-26,2ccd4f1b7d290c28600eb2a955f80242d96ad08d11c95a09a8ef0de4cea04f6d,0,mobile,Returning Visitor,1569,932,0.7287050500000001,62,135.0
2021-09-30,2ccd4f1b7d290c28600eb2a955f80242d96ad08d11c95a09a8ef0de4cea04f6d,0,mobile,Returning Visitor,2330,1344,1.41606212,92,147.0
2021-09-27,2ccd4f1b7d290c28600eb2a955f80242d96ad08d11c95a09a8ef0de4cea04f6d,0,mobile,Returning Visitor,2087,1207,1.4651644099999999,94,158.0
2021-10-03,2ccd4f1b7d290c28600eb2a955f80242d96ad08d11c95a09a8ef0de4cea04f6d,0,mobile,Returning Visitor,2213,1323,1.27691778,104,154.0
2021-09-28,2ccd4f1b7d290c28600eb2a955f80242d96ad08d11c95a09a8ef0de4cea04f6d,0,mobile,Returning Visitor,2189,1246,1.1807008700000001,108,163.0
2021-10-02,2ccd4f1b7d290c28600eb2a955f80242d96ad08d11c95a09a8ef0de4cea04f6d,0,mobile,Returning Visitor,2147,1282,1.4864401100000002,113,125.0
2021-09-29,2ccd4f1b7d290c28600eb2a955f80242d96ad08d11c95a09a8ef0de4cea04f6d,0,mobile,Returning Visitor,2274,1345,1.49893243,125,190.0
2021-10-01,2ccd4f1b7d290c28600eb2a955f80242d96ad08d11c95a09a8ef0de4cea04f6d,0,mobile,Returning Visitor,2295,1305,2.25154386,127,183.0
2021-10-05,2ccd4f1b7d290c28600eb2a955f80242d96ad08d11c95a09a8ef0de4cea04f6d,0,mobile,Returning Visitor,3044,1629,1.96429229,152,204.0
2021-10-06,2ccd4f1b7d290c28600eb2a955f80242d96ad08d11c95a09a8ef0de4cea04f6d,0,mobile,Returning Visitor,3059,1704,1.80324804,153,128.0
2021-10-04,2ccd4f1b7d290c28600eb2a955f80242d96ad08d11c95a09a8ef0de4cea04f6d,0,mobile,Returning Visitor,2920,1631,2.64758888,161,185.0
2021-10-07,2ccd4f1b7d290c28600eb2a955f80242d96ad08d11c95a09a8ef0de4cea04f6d,0,mobile,Returning Visitor,3072,1722,1.93850517,171,180.0
2021-09-23,2ccd4f1b7d290c28600eb2a955f80242d96ad08d11c95a09a8ef0de4cea04f6d,1,mobile,Returning Visitor,1052,665,0.88327478,62,154.0
2021-10-08,2ccd4f1b7d290c28600eb2a955f80242d96ad08d11c95a09a8ef0de4cea04f6d,1,mobile,Returning Visitor,1179,807,0.75245415,68,64.0
2021-09-26,2ccd4f1b7d290c28600eb2a955f80242d96ad08d11c95a09a8ef0de4cea04f6d,1,mobile,Returning Visitor,1653,958,0.7849811,70,99.0
2021-10-03,2ccd4f1b7d290c28600eb2a955f80242d96ad08d11c95a09a8ef0de4cea04f6d,1,mobile,Returning Visitor,2166,1267,1.3262316699999999,103,150.0
2021-10-07,2ccd4f1b7d290c28600eb2a955f80242d96ad08d11c95a09a8ef0de4cea04f6d,1,mobile,Returning Visitor,3064,1724,1.3160526799999999,111,182.0
2021-09-27,2ccd4f1b7d290c28600eb2a955f80242d96ad08d11c95a09a8ef0de4cea04f6d,1,mobile,Returning Visitor,2141,1216,1.66762118,113,215.0
2021-10-01,2ccd4f1b7d290c28600eb2a955f80242d96ad08d11c95a09a8ef0de4cea04f6d,1,mobile,Returning Visitor,2459,1382,2.1014908500000002,116,146.0
2021-10-02,2ccd4f1b7d290c28600eb2a955f80242d96ad08d11c95a09a8ef0de4cea04f6d,1,mobile,Returning Visitor,2248,1255,1.29282205,123,119.0
2021-09-28,2ccd4f1b7d290c28600eb2a955f80242d96ad08d11c95a09a8ef0de4cea04f6d,1,mobile,Returning Visitor,2244,1280,1.42425418,127,218.0
2021-09-30,2ccd4f1b7d290c28600eb2a955f80242d96ad08d11c95a09a8ef0de4cea04f6d,1,mobile,Returning Visitor,2513,1390,1.42997334,131,161.0
2021-09-29,2ccd4f1b7d290c28600eb2a955f80242d96ad08d11c95a09a8ef0de4cea04f6d,1,mobile,Returning Visitor,2402,1327,1.7746983200000002,134,175.0
2021-10-04,2ccd4f1b7d290c28600eb2a955f80242d96ad08d11c95a09a8ef0de4cea04f6d,1,mobile,Returning Visitor,2787,1522,1.7266573200000002,142,159.0
2021-10-06,2ccd4f1b7d290c28600eb2a955f80242d96ad08d11c95a09a8ef0de4cea04f6d,1,mobile,Returning Visitor,3152,1723,2.08359256,142,178.0
2021-10-05,2ccd4f1b7d290c28600eb2a955f80242d96ad08d11c95a09a8ef0de4cea04f6d,1,mobile,Returning Visitor,3068,1673,2.10017351,149,166.0
2021-10-04,2ccd4f1b7d290c28600eb2a955f80242d96ad08d11c95a09a8ef0de4cea04f6d,0,desktop,Returning Visitor,8141,3609,9.79297729,525,452.0
2021-10-07,2ccd4f1b7d290c28600eb2a955f80242d96ad08d11c95a09a8ef0de4cea04f6d,0,desktop,New Visitor,388,388,0.306292,23,51.0
2021-09-22,2ccd4f1b7d290c28600eb2a955f80242d96ad08d11c95a09a8ef0de4cea04f6d,0,desktop,Returning Visitor,419,262,0.5824149200000001,38,116.0
2021-09-24,2ccd4f1b7d290c28600eb2a955f80242d96ad08d11c95a09a8ef0de4cea04f6d,0,desktop,Returning Visitor,1018,449,0.7215825699999999,47,49.0
2021-09-25,2ccd4f1b7d290c28600eb2a955f80242d96ad08d11c95a09a8ef0de4cea04f6d,0,desktop,Returning Visitor,752,322,0.98041236,73,74.0
2021-09-27,2ccd4f1b7d290c28600eb2a955f80242d96ad08d11c95a09a8ef0de4cea04f6d,0,desktop,Returning Visitor,5446,2518,6.54800838,363,516.0
2021-09-28,2ccd4f1b7d290c28600eb2a955f80242d96ad08d11c95a09a8ef0de4cea04f6d,0,desktop,Returning Visitor,5954,2675,9.13180377,385,377.0
2021-10-01,2ccd4f1b7d290c28600eb2a955f80242d96ad08d11c95a09a8ef0de4cea04f6d,0,desktop,Returning Visitor,6383,2915,7.36522174,409,380.0
2021-09-29,2ccd4f1b7d290c28600eb2a955f80242d96ad08d11c95a09a8ef0de4cea04f6d,0,desktop,Returning Visitor,6386,2930,6.55036394,417,413.0
2021-09-26,2ccd4f1b7d290c28600eb2a955f80242d96ad08d11c95a09a8ef0de4cea04f6d,0,desktop,Returning Visitor,2186,1018,3.02391371,203,376.0
2021-09-23,2ccd4f1b7d290c28600eb2a955f80242d96ad08d11c95a09a8ef0de4cea04f6d,0,desktop,Returning Visitor,2616,1274,3.5861286,208,343.0
