date;experimentId;experimentVariant;product;deviceCategory;userType;channel;goalID;sessions;users;conversions
23.09.2021;2ccd4f1b7d290c28600eb2a955f80242d96ad08d11c95a09a8ef0de4cea04f6d;0;CC;mobile;Returning Visitor;channel1;goal1;1027;616;53
08.10.2021;2ccd4f1b7d290c28600eb2a955f80242d96ad08d11c95a09a8ef0de4cea04f6d;0;CC;mobile;Returning Visitor;channel1;goal1;1160;806;56
26.09.2021;2ccd4f1b7d290c28600eb2a955f80242d96ad08d11c95a09a8ef0de4cea04f6d;0;CC;mobile;Returning Visitor;channel1;goal1;1569;932;62
30.09.2021;2ccd4f1b7d290c28600eb2a955f80242d96ad08d11c95a09a8ef0de4cea04f6d;0;CC;mobile;Returning Visitor;channel1;goal1;2330;1344;92
27.09.2021;2ccd4f1b7d290c28600eb2a955f80242d96ad08d11c95a09a8ef0de4cea04f6d;0;CC;mobile;Returning Visitor;channel1;goal1;2087;1207;94
03.10.2021;2ccd4f1b7d290c28600eb2a955f80242d96ad08d11c95a09a8ef0de4cea04f6d;0;CC;mobile;Returning Visitor;channel1;goal1;2213;1323;104
28.09.2021;2ccd4f1b7d290c28600eb2a955f80242d96ad08d11c95a09a8ef0de4cea04f6d;0;CC;mobile;Returning Visitor;channel1;goal1;2189;1246;108
02.10.2021;2ccd4f1b7d290c28600eb2a955f80242d96ad08d11c95a09a8ef0de4cea04f6d;0;CC;mobile;Returning Visitor;channel1;goal1;2147;1282;113
29.09.2021;2ccd4f1b7d290c28600eb2a955f80242d96ad08d11c95a09a8ef0de4cea04f6d;0;CC;mobile;Returning Visitor;channel1;goal1;2274;1345;125
01.10.2021;2ccd4f1b7d290c28600eb2a955f80242d96ad08d11c95a09a8ef0de4cea04f6d;0;CC;mobile;Returning Visitor;channel1;goal1;2295;1305;127
05.10.2021;2ccd4f1b7d290c28600eb2a955f80242d96ad08d11c95a09a8ef0de4cea04f6d;0;CC;mobile;Returning Visitor;channel1;goal1;3044;1629;152
06.10.2021;2ccd4f1b7d290c28600eb2a955f80242d96ad08d11c95a09a8ef0de4cea04f6d;0;CC;mobile;Returning Visitor;channel1;goal1;3059;1704;153
04.10.2021;2ccd4f1b7d290c28600eb2a955f80242d96ad08d11c95a09a8ef0de4cea04f6d;0;CC;mobile;Returning Visitor;channel1;goal1;2920;1631;161
07.10.2021;2ccd4f1b7d290c28600eb2a955f80242d96ad08d11c95a09a8ef0de4cea04f6d;0;CC;mobile;Returning Visitor;channel1;goal1;3072;1722;171
23.09.2021;2ccd4f1b7d290c28600eb2a955f80242d96ad08d11c95a09a8ef0de4cea04f6d;1;CC;mobile;Returning Visitor;channel1;goal1;1052;665;62
08.10.2021;2ccd4f1b7d290c28600eb2a955f80242d96ad08d11c95a09a8ef0de4cea04f6d;1;CC;mobile;Returning Visitor;channel1;goal1;1179;807;68
26.09.2021;2ccd4f1b7d290c28600eb2a955f80242d96ad08d11c95a09a8ef0de4cea04f6d;1;CC;mobile;Returning Visitor;channel1;goal1;1653;958;70
03.10.2021;2ccd4f1b7d290c28600eb2a955f80242d96ad08d11c95a09a8ef0de4cea04f6d;1;CC;mobile;Returning Visitor;channel1;goal1;2166;1267;103
07.10.2021;2ccd4f1b7d290c28600eb2a955f80242d96ad08d11c95a09a8ef0de4cea04f6d;1;CC;mobile;Returning Visitor;channel1;goal1;3064;1724;111
27.09.2021;2ccd4f1b7d290c28600eb2a955f80242d96ad08d11c95a09a8ef0de4cea04f6d;1;CC;mobile;Returning Visitor;channel1;goal1;2141;1216;113
01.10.2021;2ccd4f1b7d290c28600eb2a955f80242d96ad08d11c95a09a8ef0de4cea04f6d;1;CC;mobile;Returning Visitor;channel1;goal1;2459;1382;116
02.10.2021;2ccd4f1b7d290c28600eb2a955f80242d96ad08d11c95a09a8ef0de4cea04f6d;1;CC;mobile;Returning Visitor;channel1;goal1;2248;1255;123
28.09.2021;2ccd4f1b7d290c28600eb2a955f80242d96ad08d11c95a09a8ef0de4cea04f6d;1;CC;mobile;Returning Visitor;channel1;goal1;2244;1280;127
30.09.2021;2ccd4f1b7d290c28600eb2a955f80242d96ad08d11c95a09a8ef0de4cea04f6d;1;CC;mobile;Returning Visitor;channel1;goal1;2513;1390;131
29.09.2021;2ccd4f1b7d290c28600eb2a955f80242d96ad08d11c95a09a8ef0de4cea04f6d;1;CC;mobile;Returning Visitor;channel1;goal1;2402;1327;134
04.10.2021;2ccd4f1b7d290c28600eb2a955f80242d96ad08d11c95a09a8ef0de4cea04f6d;1;CC;mobile;Returning Visitor;channel1;goal1;2787;1522;142
06.10.2021;2ccd4f1b7d290c28600eb2a955f80242d96ad08d11c95a09a8ef0de4cea04f6d;1;CC;mobile;Returning Visitor;channel1;goal1;3152;1723;142
05.10.2021;2ccd4f1b7d290c28600eb2a955f80242d96ad08d11c95a09a8ef0de4cea04f6d;1;CC;mobile;Returning Visitor;channel1;goal1;3068;1673;149
04.10.2021;2ccd4f1b7d290c28600eb2a955f80242d96ad08d11c95a09a8ef0de4cea04f6d;0;CC;desktop;Returning Visitor;channel1;goal1;8141;3609;525
07.10.2021;2ccd4f1b7d290c28600eb2a955f80242d96ad08d11c95a09a8ef0de4cea04f6d;0;CC;desktop;New Visitor;channel1;goal1;388;388;23
22.09.2021;2ccd4f1b7d290c28600eb2a955f80242d96ad08d11c95a09a8ef0de4cea04f6d;0;CC;desktop;Returning Visitor;channel1;goal1;419;262;38
24.09.2021;2ccd4f1b7d290c28600eb2a955f80242d96ad08d11c95a09a8ef0de4cea04f6d;0;CC;desktop;Returning Visitor;channel1;goal1;1018;449;47
25.09.2021;2ccd4f1b7d290c28600eb2a955f80242d96ad08d11c95a09a8ef0de4cea04f6d;0;CC;desktop;Returning Visitor;channel1;goal1;752;322;73
27.09.2021;2ccd4f1b7d290c28600eb2a955f80242d96ad08d11c95a09a8ef0de4cea04f6d;0;CC;desktop;Returning Visitor;channel1;goal1;5446;2518;363
28.09.2021;2ccd4f1b7d290c28600eb2a955f80242d96ad08d11c95a09a8ef0de4cea04f6d;0;CC;desktop;Returning Visitor;channel1;goal1;5954;2675;385
01.10.2021;2ccd4f1b7d290c28600eb2a955f80242d96ad08d11c95a09a8ef0de4cea04f6d;0;CC;desktop;Returning Visitor;channel1;goal1;6383;2915;409
29.09.2021;2ccd4f1b7d290c28600eb2a955f80242d96ad08d11c95a09a8ef0de4cea04f6d;0;CC;desktop;Returning Visitor;channel1;goal1;6386;2930;417
26.09.2021;2ccd4f1b7d290c28600eb2a955f80242d96ad08d11c95a09a8ef0de4cea04f6d;0;CC;desktop;Returning Visitor;channel1;goal1;2186;1018;203
23.09.2021;2ccd4f1b7d290c28600eb2a955f80242d96ad08d11c95a09a8ef0de4cea04f6d;0;CC;desktop;Returning Visitor;channel1;goal1;2616;1274;208
08.10.2021;2ccd4f1b7d290c28600eb2a955f80242d96ad08d11c95a09a8ef0de4cea04f6d;0;CC;desktop;Returning Visitor;channel1;goal1;3314;2055;210
07.10.2021;2ccd4f1b7d290c28600eb2a955f80242d96ad08d11c95a09a8ef0de4cea04f6d;0;CC;desktop;Returning Visitor;channel1;goal1;8390;3859;470
02.10.2021;2ccd4f1b7d290c28600eb2a955f80242d96ad08d11c95a09a8ef0de4cea04f6d;0;CC;desktop;Returning Visitor;channel1;goal1;2714;1235;225
30.09.2021;2ccd4f1b7d290c28600eb2a955f80242d96ad08d11c95a09a8ef0de4cea04f6d;0;CC;desktop;Returning Visitor;channel1;goal1;6891;3081;490
05.10.2021;2ccd4f1b7d290c28600eb2a955f80242d96ad08d11c95a09a8ef0de4cea04f6d;0;CC;desktop;Returning Visitor;channel1;goal1;8007;3591;498
06.10.2021;2ccd4f1b7d290c28600eb2a955f80242d96ad08d11c95a09a8ef0de4cea04f6d;0;CC;desktop;Returning Visitor;channel1;goal1;8402;3803;505
03.10.2021;2ccd4f1b7d290c28600eb2a955f80242d96ad08d11c95a09a8ef0de4cea04f6d;0;CC;desktop;Returning Visitor;channel1;goal1;2927;1354;252
28.09.2021;2ccd4f1b7d290c28600eb2a955f80242d96ad08d11c95a09a8ef0de4cea04f6d;1;CC;desktop;New Visitor;channel1;goal1;360;360;24
25.09.2021;2ccd4f1b7d290c28600eb2a955f80242d96ad08d11c95a09a8ef0de4cea04f6d;1;CC;desktop;Returning Visitor;channel1;goal1;577;282;58
29.09.2021;2ccd4f1b7d290c28600eb2a955f80242d96ad08d11c95a09a8ef0de4cea04f6d;1;CC;desktop;Returning Visitor;channel1;goal1;6343;2867;336
01.10.2021;2ccd4f1b7d290c28600eb2a955f80242d96ad08d11c95a09a8ef0de4cea04f6d;1;CC;desktop;Returning Visitor;channel1;goal1;6365;2930;337
24.09.2021;2ccd4f1b7d290c28600eb2a955f80242d96ad08d11c95a09a8ef0de4cea04f6d;1;CC;desktop;Returning Visitor;channel1;goal1;1009;476;86
27.09.2021;2ccd4f1b7d290c28600eb2a955f80242d96ad08d11c95a09a8ef0de4cea04f6d;1;CC;desktop;Returning Visitor;channel1;goal1;5627;2540;353
30.09.2021;2ccd4f1b7d290c28600eb2a955f80242d96ad08d11c95a09a8ef0de4cea04f6d;1;CC;desktop;Returning Visitor;channel1;goal1;6773;3051;357
28.09.2021;2ccd4f1b7d290c28600eb2a955f80242d96ad08d11c95a09a8ef0de4cea04f6d;1;CC;desktop;Returning Visitor;channel1;goal1;6150;2780;378
26.09.2021;2ccd4f1b7d290c28600eb2a955f80242d96ad08d11c95a09a8ef0de4cea04f6d;1;CC;desktop;Returning Visitor;channel1;goal1;2129;995;130
03.10.2021;2ccd4f1b7d290c28600eb2a955f80242d96ad08d11c95a09a8ef0de4cea04f6d;1;CC;desktop;Returning Visitor;channel1;goal1;2844;1318;136
08.10.2021;2ccd4f1b7d290c28600eb2a955f80242d96ad08d11c95a09a8ef0de4cea04f6d;1;CC;desktop;Returning Visitor;channel1;goal1;3310;2031;148
23.09.2021;2ccd4f1b7d290c28600eb2a955f80242d96ad08d11c95a09a8ef0de4cea04f6d;1;CC;desktop;Returning Visitor;channel1;goal1;2632;1281;179
05.10.2021;2ccd4f1b7d290c28600eb2a955f80242d96ad08d11c95a09a8ef0de4cea04f6d;1;CC;desktop;Returning Visitor;channel1;goal1;8318;3740;436
04.10.2021;2ccd4f1b7d290c28600eb2a955f80242d96ad08d11c95a09a8ef0de4cea04f6d;1;CC;desktop;Returning Visitor;channel1;goal1;8132;3700;444
02.10.2021;2ccd4f1b7d290c28600eb2a955f80242d96ad08d11c95a09a8ef0de4cea04f6d;1;CC;desktop;Returning Visitor;channel1;goal1;2614;1241;189
07.10.2021;2ccd4f1b7d290c28600eb2a955f80242d96ad08d11c95a09a8ef0de4cea04f6d;1;CC;desktop;Returning Visitor;channel1;goal1;8861;3971;462
06.10.2021;2ccd4f1b7d290c28600eb2a955f80242d96ad08d11c95a09a8ef0de4cea04f6d;1;CC;desktop;Returning Visitor;channel1;goal1;8636;3933;489
21.09.2021;397c4f579c2c394bfd4d2b53d0d8266b4d3a0637d20270def634fd4ce12fe84f;0;CC;desktop;Returning Visitor;channel1;goal1;252;115;23
09.10.2021;397c4f579c2c394bfd4d2b53d0d8266b4d3a0637d20270def634fd4ce12fe84f;1;CC;desktop;Returning Visitor;channel1;goal1;259;121;37
12.10.2021;397c4f579c2c394bfd4d2b53d0d8266b4d3a0637d20270def634fd4ce12fe84f;1;CC;desktop;Returning Visitor;channel1;goal1;564;271;45
13.10.2021;397c4f579c2c394bfd4d2b53d0d8266b4d3a0637d20270def634fd4ce12fe84f;0;CC;desktop;Returning Visitor;channel1;goal1;469;240;37
